moviename,release year,rating,director,runtime,genre,cast,votes,share,verdict
Eeshwar,2002,5.2,Jayant Paranji,162 min,"Action, Drama, Romance","Prabhas, Sridevi Vijaykumar, Revathi, Brahmanandam",561,2cr,Average
Raghavendra,2003,4.7,Suresh Krishna,151 min,"Action, Drama, Romance","Prabhas, Anshu, Shweta Agarwal, Murali Mohan",486,3cr,Flop
Varsham,2004,7.2,Sobhan,159 min,"Action, Comedy, Romance","Prabhas, Trisha Krishnan, Gopichand, Prakash Raj","2,121",18.5cr,Blockbuster
Adavi Ramudu,2004,4,Gopal B.,152 min,"Action, Romance","Prabhas, Aarthi Agarwal, Ravi Babu, Banerjee",437,5.25cr,Flop
Chakram,2005,6.1,Krishna Vamsi,150 min,Drama,"Prabhas, Asin Thottumkal, Charmme Kaur, Prakash Raj",954,5cr,Disaster
Chatrapathi,2005,7.6,S.S. Rajamouli,158 min,"Action, Drama","Prabhas, Bhanupriya, Shriya Saran, Shafi","5,584",16.5cr,Super Hit
Pournami,2006,5.8,Prabhu Deva,160 min,"Action, Drama, Mystery","Prabhas, Trisha Krishnan, Charmme Kaur, Rahul Dev","1,053",7cr,Disaster
Yogi,2007,4.5,V.V. Vinayak,155 min,"Action, Drama","Prabhas, Nayanthara, Kota Srinivasa Rao, Pradeep Singh Rawat",764,9.5cr,Flop
Munna,2007,5.5,Vamshi Paidipally,167 min,Action,"Prabhas, Ileana D'Cruz, Prakash Raj, Kota Srinivasa Rao","1,271",10cr,Flop
Bujjigaadu: Made in Chennai,2008,6.2,Puri Jagannadh,150 min,"Action, Drama, Romance","Prabhas, Trisha Krishnan, Mohan Babu, Sanjjanaa Galrani","2,628",12.5cr,Below Average
Billa,2009,6.1,Meher Ramesh,149 min,"Action, Crime, Thriller","Prabhas, Anushka Shetty, Krishnamraju, Hansika Motwani","2,683",19.3cr,Below Average
Ek Niranjan,2009,5.3,Puri Jagannadh,150 min,Action,"Prabhas, Kangana Ranaut, Sonu Sood, Mukul Dev","1,240",10.75cr,Flop
Darling(I) ,2010,7.4,A. Karunakaran,151 min,"Comedy, Drama, Romance","Prabhas, Kajal Aggarwal, Prabhu, Tulasi","3,917",22.2cr,Super Hit
Mr Perfect,2011,7,"Dasaradh, David Kassman, Guy Sheetrit",144 min,"Comedy, Drama, Romance","Prabhas, Kajal Aggarwal, Prakash Raj, Taapsee Pannu","4,271",28.2cr,Super Hit
Rebel(II) ,2012,4.8,Raghava Lawrence,168 min,"Action, Comedy, Drama","Prabhas, Tamannaah Bhatia, Deeksha Seth, Kelly Dorji","2,701",27.5cr,Below Average
Mirchi,2013,7.3,Koratala Siva,155 min,"Action, Drama","Prabhas, Anushka Shetty, Richa Langella, Sathyaraj","6,017",48.6cr,Blockbuster
Bãhubali: The Beginning,2015,8,S.S. Rajamouli,159 min,"Action, Drama","Prabhas, Rana Daggubati, Anushka Shetty, Tamannaah Bhatia","36,584|",286.9cr,All Time Blockbuster• Industry Hit
Baahubali 2: The Conclusion,2017,8.2,S.S. Rajamouli,167 min,"Action, Drama","Prabhas, Rana Daggubati, Anushka Shetty, Tamannaah Bhatia","14,010|",806.3cr,All Time Blockbuster• Industry Hit
Saaho,2019,5,Sujeeth,170 min,"Action, Thriller","Prabhas, Shraddha Kapoor, Jackie Shroff, Neil Nitin Mukesh","3,228| ",203.6cr,Below Average
Radhe Shyam,2022,5.2,K.K. Radhakrishna Kumar,138 min,"Drama, Romance","Prabhas, Pooja Hegde, Bhagyashree Patwardhan, Krishnamraju","1,662",85.8cr,Disaster
Adipurush,2023,2.9,Om Raut,179 min,"Action, Adventure, Drama","Prabhas, Kriti Sanon, Saif Ali Khan, Devdutta Nage","32,625",169.8cr,Flop
Salaar: Cease Fire - Part 1,2023,6.5,Prashanth Neel,175 min,"Action, Crime, Drama","Prabhas, Prithviraj Sukumaran, Shruti Haasan, Jagapathi Babu","2,889",303.5cr,Above Average
